,index,Ukraine-2014/2,Sudan-2006/4,Sudan-1989/6,Ethiopia-1996/4,Sudan-2014/10
0,0,86.0,156.4615384615,314.9090909091,2.5315068493,20.0666666667
1,1,0.0,145.5333333333,343.6363636364,2.5315068493,201.7075757576
2,2,23.375,18.8,276.9090909091,3.1643835616000002,45.0
3,3,207.8248787132,378.5714285714,274.9090909091,4.5315068493,373.9484400657
4,4,487.775862069,145.4545454545,285.3636363636,2.5315068493,190.4416298432
5,5,777.1378011151,292.7272727273,863.0,3.1643835616000002,720.0434912625
6,6,1553.1674754045,613.6666666667,1267.3333333333,14.2315068493,435.3896551724
7,7,589.4074074074,195.9793103448,1035.3846153846,4.2648401826,602.7
8,8,271.8,146.5275862069,730.9401709402,3.1643835616000002,188.0
9,9,641.9473684211,205.6666666667,1053.754985755,3.6808219178,315.0
10,10,268.7072368421,74.2037037037,910.2307692308,0.0,135.5
11,11,599.8264106583,32.4444444444,73.4535809019,3.0,53.0
12,12,670.0673981191,118.0,683.956043956,0.1,14.0
13,13,78.4137931034,72.4827586207,272.2307692308,0.0,68.4285714286
14,14,44.0,16.0,134.3846153846,0.0,100.0
15,15,132.0,110.0989247312,429.7307692308,3.0,466.1904483104
16,16,146.9253731343,380.2871338524,86.1538461538,0.0,414.8778494448
17,17,110.8955223881,86.8333333333,128.1538461538,0.0,306.9657282327
