,index,Ukraine-2018/8,Ukraine-2015/9,Ukraine-2016/8,Ethiopia-2018/2,Ethiopia-1994/9,Ethiopia-2018/3
0,0,42.619006919,20.8461538462,30.0,3.8422152560000002,1.4615384615,30.0
1,1,17.75,15.8461538462,16.0,30.0,1.8269230769,42.5
2,2,27.1666666667,34.384615384599996,54.5,42.5,1.4615384615,20.0
3,3,14.3543956044,5.0,10.4285714286,20.0,1.4615384615,3.4285714286
4,4,23.913003663,11.3333333333,7.0,3.4285714286,81.9752747253,78.1666666667
5,5,8.9682035356,35.5,33.3062078273,78.1666666667,78.8461538462,135.9
6,6,36.2558080808,28.0,77.3959899749,135.9,78.8461538462,145.6666666667
7,7,44.1585590336,41.1666666667,51.9436090226,145.6666666667,100.891025641,85.2051282051
8,8,36.7825757576,66.5,61.3759398496,85.2051282051,78.8461538462,79.2051282051
9,9,31.6534548785,36.1666666667,35.8245614035,79.2051282051,78.8461538462,169.4230769231
10,10,46.1084249084,63.3428571429,42.0388471178,169.4230769231,102.5576923077,102.2478021978
11,11,39.2076923077,30.0,64.1748816486,102.2478021978,78.8461538462,41.4166666667
12,12,14.3608058608,16.0,53.8719555299,41.4166666667,78.8461538462,0.0
13,13,43.3919413919,54.5,16.6936339523,0.0,98.5576923077,26.8275862069
14,14,19.5897435897,10.4285714286,27.0035366932,26.8275862069,78.8461538462,66.4212164751
15,15,27.2673992674,7.0,26.8306176582,66.4212164751,110.9576923077,38.96875
16,16,24.6666666667,33.3062078273,29.6379310345,38.96875,28.0315068493,54.0
