,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cambodia (Kampuchea),Cameroon,Canada,Central African Republic,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,DR Congo (Zaire),Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Ivory Coast,Jamaica,Jordan,Kenya,Kingdom of eSwatini (Swaziland),Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,"Macedonia, FYR",Madagascar (Malagasy),Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar (Burma),Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Qatar,Romania,Russia (Soviet Union),Rwanda,Saudi Arabia,Senegal,Serbia (Yugoslavia),Sierra Leone,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen (North Yemen),Zambia,Zimbabwe (Rhodesia)
1989-01-31,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,33.17032967032967,0.0,0,0,0.0,0,24.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.17032967032967034,2.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,4.0,5.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,516.6666666666667,2.2036630036630034,0.0,0,1.2774725274725274,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0
1989-02-28,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,7.0,0,0.0,0,0,29.0,0,0.0,0,0,622.2222222222222,0,0.0,0,0,0,38.15384615384615,0.0,0,0,0.0,0,3.146067415730337,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.15384615384615385,0.0,0,0,0.0,8.166666666666668,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,10.0,9.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.153846153846154,0.0,0,104.15384615384615,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,2,0,0,21.897727272727273,0.0,0.0,0.0
1989-03-31,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0,0.0,0,0,0.0,0,0.0,0,0,25.40983606557377,0,0.0,0,0,0,36.17032967032967,0.0,0,0,0.0,0,18.34831460674157,0.0,0.0,0.0,5.0,0,0.0,0,0,3.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.17032967032967034,0.0,0,0,18.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,7.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.203663003663003,0.0,0,7.777472527472527,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,0.0,0,0,0,0,0,22.505681818181817,0.0,0.0,10.5
1989-04-30,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0,0.0,0,0,0.0,0,0.0,0,0,62.59016393442623,0,0.0,0,0,0,35.26828344069723,0.0,0,0,0.0,0,107.33707865168539,0.0,0.0,0.0,11.10344827586207,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,2.164835164835165,0.0,0,0,34.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,1.6666666666666667,0,0,20.0,0.0,0,2.0,0.0,0.0,0,0.0,3.199317923455854,0.0,0,52.23626373626374,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,29.333333333333336,0,0,0,0,0,0.0,0.0,0.0,0.0
1989-05-31,0.0,0,0.0,0.0,0,0,0,0,0,0,10.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,25.40983606557377,0,0.0,0,0,0,34.503663003663,0.0,0,0,0.0,0,8.179775280898877,0.0,0.0,0.0,14.5,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,10.503663003663004,0.0,0,0,50.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,14.0,2.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.1703296703296704,0.0,0,5.277472527472527,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,10.428571428571427,0.0,0,0,0,0,0,0.0,0.0,4.0,0.0
1989-06-30,0.0,0,0.0,0.0,0,0,0,0,0,0,13.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2600,0.0,0,0.0,0,0,0.0,0,0.0,0,0,52.59016393442623,0,0.0,0,0,0,35.16483516483517,0.0,0,0,0.0,0,28.0,0.0,0.0,0.0,3.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,8.268283440697234,0.0,0,0,57.07692307692307,9.0,0,0.0,0,0,0.0,0.0,0.0,0,1.0344827586206897,0,70.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.16483516483516486,0.0,0,4.236263736263736,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,8.068965517241379,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0
1989-07-31,0.0,0,0.0,0.0,0,0,0,0,0,0,15.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,25.40983606557377,0,0.0,0,0,0,35.503663003663,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,23.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,4.303663003663003,0.0,0,0,109.58333333333333,2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,2.0,2.5,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.17032967032967,0.0,0,24.277472527472526,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,13.285714285714285,0.0,0,0,0,0,0,1.0625,0.0,0.0,10.5
1989-08-31,0.0,0,0.0,61.833333333333336,0,0,0,0,0,0,11.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,25.40983606557377,0,0.0,0,0,0,32.336996336996336,0.0,0,0,0.0,0,23.0,0.0,0.0,0.0,5.166666666666667,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.17032967032967034,0.0,0,0,65.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,1.0,0,0.0,16.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.1703296703296702,0.0,0,54.4441391941392,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,38.625,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0
1989-09-30,0.0,0,0.0,5.0,0,0,0,0,0,0,6.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0,0.0,0,0,0.0,0,0.0,0,0,156.93499152063316,0,0.0,0,0,0,33.16483516483517,0.0,0,0,0.0,0,19.10742705570292,0.0,0.0,0.0,5.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.16483516483516486,0.0,0,0,0.0,0.0,0,0.0,0,0,170.0,0.0,0.0,0,0.0,0,0.0,2.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,70.34482758620689,32.16483516483517,0.0,0,3.2362637362637363,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0
1989-10-31,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0,0.0,0,0,0.0,0,0.0,0,0,25.40983606557377,0,0.0,0,0,0,33.23699633699634,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,7.166666666666667,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.17032967032967034,0.0,0,0,68.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,26.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.1703296703296706,0.0,0,14.277472527472527,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,0.0,0,0,0,0,0,5.033333333333333,0.0,0.0,0.0
1989-11-30,0.0,0,0.0,0.0,0,0,0,0,0,0,3.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,121.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,30.164835164835164,0.0,0,0,0.0,0,20.0,0.0,0.0,0.0,4.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.16483516483516486,0.0,0,0,9.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,8.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,120.0,2.1648351648351647,0.0,0,38.23626373626374,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9.0,0,0,0,0,0,7.0,0.0,20.0,0.0
1989-12-31,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0,0.0,0,0,0.0,0,0.0,0,0,17.1,0,0.0,0,0,0,34.17032967032967,0.0,0,0,0.0,0,21.0,0.0,0.0,0.0,3.0333333333333337,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,18.233333333333334,0.0,0,0.0,0,0.0,0,0.17032967032967034,2.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,2.0,3.0,0,203,1.0,0.0,0,0.0,0.0,0.0,0,0.0,5.17032967032967,0.0,0,255.27747252747253,1033.3333333333335,0,0.0,0.0,0.0,0.0,0.0,0,0,13.0,0.0,0,0,0,0,0,1.0,0.0,0.0,0.0
