,index,Somalia-2018/5,Afghanistan-2007/10,Mexico-2013/12,Angola-2000/11,Burkina Faso-2016/12,Chad-1991/4,Sudan-2006/2
0,0,10.0,5.0,0.0,10.5344827586,0.0,0.0,3.5
1,1,6.0,5.1666666667,3.512195122,28.1666666667,3.0333333333,0.0,75.9230769231
2,2,10.0,5.0,1.7032520325,23.0,0.0,0.0,12.3076923077
3,3,10.5,4.0,0.0,86.0,2.0,0.0,75.2333333333
4,4,9.0,0.0,0.0,31.0,0.0,0.0,4.0
5,5,19.1666666667,11.1666666667,0.0,0.0,1.0,0.0,102.0
6,6,41.5,21.0,15.0,365.0,19.0,54.0,221.1818181818
7,7,6.0,3.3333333333,1.5,42.0,0.0,0.0,1.0
8,8,3.5,1.0,1.0,81.0,0.0,0.0,67.0
9,9,28.0,25.0,16.0,249.0,12.0,42.25,147.0068965517
10,10,25.5,12.3333333333,6.0,164.0,6.0,25.8888888889,76.5
11,11,3.0,6.0,0.0,36.0,3.0,0.0,20.0
12,12,7.0,30.0357142857,2.0,41.0,0.0,76.0,16.0
13,13,3.0,3.0,9.0,9.0,0.6000000000000001,0.0,7.0
14,14,23.0,0.0,0.0,13.2,5.6,0.0,65.4827586207
15,15,1.0,0.0,0.0,20.0,0.0,0.0,8.0
16,16,2.5344827586000003,5.0,0.0,7.0,2.0,157.0,9.0
17,17,10.0,10.5,0.0,7.0,1.0,0.0,21.583908046
