,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cambodia (Kampuchea),Cameroon,Canada,Central African Republic,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,DR Congo (Zaire),Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Ivory Coast,Jamaica,Jordan,Kenya,Kingdom of eSwatini (Swaziland),Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,"Macedonia, FYR",Madagascar (Malagasy),Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar (Burma),Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Qatar,Romania,Russia (Soviet Union),Rwanda,Saudi Arabia,Senegal,Serbia (Yugoslavia),Sierra Leone,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen (North Yemen),Zambia,Zimbabwe (Rhodesia)
1989-01-31,1298.7884615384614,0,0.0,300.2738095238095,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,33.51039215686275,0.0,0,0.0,0.0,0.0,9.833333333333334,0,0.0,0.0,0.0,0.0,0,0.0,376.7840628298255,0.0,2854.129120879121,0,0,0.0,0,0,42.10714285714286,0,0.0,0,0.0,0,116.53029403029403,0.0,0.0,4.258241758241758,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,62.0,0.2554945054945055,0.0,0,0,24.777472527472526,0.0,0.0,0.0,0.0,0.5602409638554217,0,169.2085330776606,62.114754098360656,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,29.0,404.3636363636364,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,2.0,0,0.0,0.0,0.0,0,0
1989-02-28,198.7153846153846,0,0.0,427.80952380952385,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,30.26745098039216,0.0,0,0.0,16.666666666666668,0.0,113.0,0,0.0,0.0,0.0,0.0,0,0.0,246.02216427640155,0.0,9083.923076923076,0,0,0.0,0,0,4.0,0,0.0,0,0.0,0,103.70478170478171,0.0,0.0,3.8461538461538467,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,37.07822685788788,0.0,0,0,15.153846153846153,0.0,0.0,0.0,0.0,0.5060240963855421,150,95.86577181208054,70.42622950819673,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,10.0,306.90909090909093,0,0.0,0.0,0.0,25.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,0,0.0,0.0,0.0,0,0
1989-03-31,2211.0509615384617,0,0.0,415.26190476190476,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,38.51039215686275,0.0,0,0.0,50.0,0.0,17.799999999999997,0,0.0,0.0,0.0,0.0,0,0.0,488.1507294964922,0.0,3529.6291208791213,0,0,0.0,0,0,2.107142857142857,0,0.0,0,0.0,0,80.93569943569945,0.0,0.0,4.258241758241758,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,99.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,261.7807538788895,0.0,0,0,16.777472527472526,0.0,0.0,0.0,0.0,0.5602409638554217,0,180.4228187919463,88.11475409836066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1333333333333333,0,0.0,0,13.0,406.3636363636364,0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,0.0,0.0,0,5.0,0,0.0,0.0,0.0,0,0
1989-04-30,510.7307692307692,0,0.0,177.85714285714286,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,375.2865546218487,0.0,0,0.0,0.0,0.0,9.0,0,0.0,0.0,0.0,0.0,0,0.0,255.89017197491773,0.0,883.2747252747253,0,0,0.0,0,0,8.17487684729064,0,0.0,0,82.0,0,78.06593406593407,0.9166666666666666,0.0,4.120879120879121,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,120.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,472.7758620689655,91.69006219768931,0.0,0,0,23.236263736263737,0.0,0.0,0.0,0.0,2.542168674698795,0,216.5704697986577,66.88524590163935,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.933333333333334,0,0.0,2,42.0,584.5454545454545,0,0.0,0.0,0.0,82.17857142857143,0,0.0,0.0,11.177339901477833,68.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0
1989-05-31,814.8335435056747,0,0.0,278.5924369747899,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,33.51039215686275,0.0,0,0.0,0.0,0.0,6.0,0,0.0,0.0,3.0,0.0,0,0.0,236.32417582417582,0.0,355.8791208791209,0,0,0.0,0,0,3.1071428571428577,0,0.0,0,0.0,0,84.36813186813188,2.166666666666667,0.0,4.258241758241758,1.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,81.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,164.14285714285714,262.71367632367634,0.0,0,0,40.23141989589358,0.0,0.0,0.0,0.0,0.5602409638554217,0,157.4228187919463,116.07771706132363,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0,0,0.0,5,7.0,304.3636363636364,0,0.0,0.0,0.0,101.14285714285714,0,0.0,0.0,61.0,593.1266666666667,0.0,0,1.0,0,0.0,0.0,0.0,0,0
1989-06-30,903.9356872635561,0,0.0,61.882352941176464,0,0.0,0,0,0.0,0,3.0,0,0,0,0,0.0,0,0,0.0,0.0,48.27079107505071,0.0,0,0.0,0.0,0.0,15.0,0,0.0,0.0,4.0,0.0,0,0.0,163.0879120879121,0.0,73.06043956043956,0,0,0.0,0,0,4.071428571428571,0,0.0,0,0.0,0,119.06593406593407,0.0,0.0,4.120879120879121,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,25.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,4.0,236.23076923076923,38.174525474525474,0.0,0,0,124.7957011228336,0.0,0.0,0.0,0.0,0.5421686746987951,0,223.79546979865773,191.71857923497268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0,0.0,0,24.0,294.54545454545456,0,0.0,0.0,0.0,0.0,0,0.0,0.0,36.0,364.8666666666667,0.0,0,1.0,0,0.0,0.0,0.0,0,0
1989-07-31,838.2502101723413,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,11.397058823529413,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,132.32417582417582,0.0,87.12912087912088,0,0,0.0,1,0,5.107142857142858,0,0.0,0,0.0,0,75.36813186813188,1.0,0.0,4.258241758241758,1.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,117.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,84.08333333333333,87.46367632367632,0.0,0,0,44.23141989589358,0.0,0.0,0.0,0.0,0.5602409638554217,0,386.6728187919463,27.688524590163937,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,192.0,0,0.0,2,28.0,304.3636363636364,0,0.0,0.0,0.0,8.0,0,0.0,0.0,38.0,0.0,0.0,0,2.0,0,0.0,0.0,0.0,0,0
1989-08-31,146.25021017234133,0,0.0,284.2142857142857,0,0.0,0,0,0.0,0,6.0,0,0,0,0,0.0,0,0,0.0,0.0,11.397058823529413,0.0,0,0.0,0.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0,0.0,131.32417582417582,0.0,431.79578754578756,0,0,0.0,0,0,9.207142857142857,0,0.0,0,0.0,0,84.36813186813188,2.235632183908046,0.0,4.258241758241758,0.0,0,0.0,0,0,0.0,0,0.0,0.0,30.0,268.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,70.83333333333334,16.71367632367632,0.0,0,0,40.23141989589358,0.0,0.0,0.0,0.0,0.5602409638554217,0,63.422818791946305,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.166666666666668,0,0.0,1,102.5,306.3636363636364,0,0.0,0.0,0.0,0.0,0,0.0,0.0,42.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0
1989-09-30,185.73076923076923,0,0.0,560.3952380952381,0,0.0,0,0,0.0,0,6.0,0,0,0,0,0.0,0,0,0.0,0.0,31.029411764705884,0.0,0,0.0,0.0,0.0,30.0,0,0.0,0.0,0.0,0.0,0,0.0,180.0879120879121,0.0,1512.8104395604396,0,0,0.0,0,0,5.140394088669951,0,0.0,0,0.0,0,84.23260073260074,1.0,0.0,4.120879120879121,4.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,65.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,4.0,73.71428571428572,16.174525474525474,0.0,0,0,68.93363215731637,0.0,0.0,0.0,0.0,1.5421686746987953,0,74.57046979865771,108.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70.0,0,0.0,4,63.0,294.54545454545456,0,0.0,0.0,0.0,0.0,0,0.0,0.0,42.0,0.0,0.0,0,12.0,0,0.0,0.0,0.0,0,0
1989-10-31,240.78846153846155,0,0.0,294.66666666666663,0,0.0,0,0,0.0,0,9.0,0,0,0,0,0.0,0,0,0.0,0.0,191.91666666666669,0.0,0,0.0,0.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0,0.0,132.32417582417582,0.0,7212.629120879121,0,0,0.0,2,0,3.1071428571428577,0,0.0,0,0.0,0,84.43479853479855,0.0,0.0,4.258241758241758,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,25.0,31.63095238095238,16.71367632367632,0.0,0,0,54.77747252747253,0.0,0.0,0.0,77.0,0.5602409638554217,0,253.99440715883668,33.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,54.0,233.45454545454544,0,0.0,0.0,0.0,0.0,0,0.0,0.0,89.0,0.0,0.0,0,2.0,0,0.0,0.0,0.0,0,0
