,index,Serbia (Yugoslavia)-1990/8,Syria-2011/8,Israel-2005/8,Philippines-2019/6,Nepal-2001/6,Cameroon-2014/3,Iraq-2012/8,Angola-2015/8,Libya-2015/8,Turkey-2010/10
0,0,0.0,19.0,5.0,17.0,13,0.0,35.0,0.0,0.4166666667,7.0
1,1,0.0,78.6,10.0,20.5,82,0.0,105.25,0.0,17.0,0.0
2,2,0.0,248.0,20.0,21.0,0,45.0,4.0,0.0,0.0,4.0
3,3,0.0,325.0,15.0,10.5,0,33.25,39.0,0.0,1.0,0.0
4,4,0.0,520.0,19.0,19.0,0,5.0,73.0,0.0,0.0,0.0
5,5,95.8956043956,1543.0212328767,28.1965811966,45.0,121,75.5833333333,125.0,1.3589041096,88.0,7.0
6,6,86.6153846154,2511.7698630137,39.1452991453,30.0,90,239.5,94.0,1.2712328767,117.0,21.1428571429
7,7,95.8956043956,2250.2712328767,33.1965811966,23.7,169,298.0,73.0,1.3589041096,58.0,20.0
8,8,92.8021978022,2545.5205479452,44.5128205128,24.0,390,349.0,95.0,1.3150684932,16.0,13.0
9,9,95.8956043956,2123.7712328767,48.1965811966,40.2083333333,386,296.5,147.0,1.3589041096,145.2,44.1666666667
10,10,133.8021978022,3734.0828084816,61.5128205128,49.5,621,396.0,154.0,5.3150684932,228.39,59.4333333333
11,11,186.8956043956,5685.6965461599,114.1965811966,61.1666666667,719,766.0,285.0,5.3589041096,228.4438095238,64.5
12,12,461.4188602096,7582.5931228289,70.7264957265,47.6916666667,297,3.0,209.0,1.3589041096,185.9142857143,132.8333333333
13,13,662.2828179572,5668.6250933998,16.0,66.8888888889,131,0.0,155.0,5.8150684932,118.7,9.0
14,14,608.4033563336,6384.8505979561,38.0,55.5,178,5.0,274.0,1.3589041096,302.7073170732,100.6666666667
15,15,613.6510350115,5632.8538812785,69.0,29.0,325,2.0,157.0,3.3150684932,132.0784729586,0.0
16,16,253.8956043956,6026.0212328767,8.0,13.0,298,8.0,182.5,1.3589041096,489.3043478261,55.0
17,17,15.0,6442.7256313396,8.0,23.0,334,49.0,564.4066666667,0.7664835165,66.0,36.5
